Project,Bug ID,tarantula_rank,tarantula_exam,tarantula_top_1,tarantula_top_3,tarantula_top_5,ochiai_rank,ochiai_exam,ochiai_top_1,ochiai_top_3,ochiai_top_5,dstar_rank,dstar_exam,dstar_top_1,dstar_top_3,dstar_top_5,tarantula_gc_rank,tarantula_gc_exam,tarantula_gc_top_1,tarantula_gc_top_3,tarantula_gc_top_5,ochiai_gc_rank,ochiai_gc_exam,ochiai_gc_top_1,ochiai_gc_top_3,ochiai_gc_top_5,dstar_gc_rank,dstar_gc_exam,dstar_gc_top_1,dstar_gc_top_3,dstar_gc_top_5,tarantula_rank_imp_pct,tarantula_exam_imp_pct,ochiai_rank_imp_pct,ochiai_exam_imp_pct,dstar_rank_imp_pct,dstar_exam_imp_pct
Gson,11,3,0.0078,False,True,True,3,0.0078,False,True,True,3,0.0078,False,True,True,3,0.0117,False,True,True,3,0.0117,False,True,True,3,0.0117,False,True,True,0.0,-50.0,0.0,-50.0,0.0,-50.0
Lang,58,1,0.0455,True,True,True,1,0.0455,True,True,True,2,0.0758,False,True,True,2,0.0606,False,True,True,2,0.0606,False,True,True,13,0.3939,False,False,False,-100.0,-33.19,-100.0,-33.19,-550.0,-419.66
Compress,11,30,0.8514,False,False,False,30,0.8514,False,False,False,30,0.8514,False,False,False,3,0.0811,False,True,True,30,0.8108,False,False,False,32,0.8649,False,False,False,90.0,90.47,0.0,4.77,-6.67,-1.59
JacksonCore,6,4,0.4444,False,False,True,4,0.4444,False,False,True,4,0.4444,False,False,True,3,0.3333,False,True,True,4,0.4444,False,False,True,4,0.4444,False,False,True,25.0,25.0,0.0,0.0,0.0,0.0
Csv,9,2,0.027,False,True,True,2,0.027,False,True,True,2,0.027,False,True,True,6,0.0811,False,False,False,2,0.027,False,True,True,2,0.027,False,True,True,-200.0,-200.37,0.0,0.0,0.0,0.0
Jsoup,86,1,0.0036,True,True,True,1,0.0036,True,True,True,1,0.0036,True,True,True,3,0.0054,False,True,True,3,0.0054,False,True,True,3,0.0054,False,True,True,-200.0,-50.0,-200.0,-50.0,-200.0,-50.0
Math,56,3,0.1026,False,True,True,3,0.1026,False,True,True,3,0.1026,False,True,True,7,0.1795,False,False,False,3,0.0897,False,True,True,2,0.0513,False,True,True,-133.33,-74.95,0.0,12.57,33.33,50.0
Chart,1,8,0.0379,False,False,False,8,0.0379,False,False,False,8,0.0379,False,False,False,14,0.0707,False,False,False,46,0.2323,False,False,False,44,0.2222,False,False,False,-75.0,-86.54,-475.0,-512.93,-450.0,-486.28
Compress,10,28,0.1234,False,False,False,28,0.1234,False,False,False,28,0.1234,False,False,False,91,0.3872,False,False,False,90,0.383,False,False,False,90,0.383,False,False,False,-225.0,-213.78,-221.43,-210.37,-221.43,-210.37
JacksonCore,7,12,0.1173,False,False,False,4,0.0408,False,False,True,4,0.0408,False,False,True,17,0.1735,False,False,False,22,0.2245,False,False,False,30,0.3061,False,False,False,-41.67,-47.91,-450.0,-450.25,-650.0,-650.25
Gson,10,7,0.0431,False,False,False,7,0.0431,False,False,False,7,0.0431,False,False,False,16,0.092,False,False,False,79,0.454,False,False,False,82,0.4713,False,False,False,-128.57,-113.46,-1028.57,-953.36,-1071.43,-993.5
